title,rank,date,artist,url,region,chart,trend,streams
I Took A Pill In Ibiza - Seeb Remix,32,2017-01-01,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,Global,top200,MOVE_DOWN,1112074
Safari,33,2017-01-01,"J Balvin, Pharrell Williams, BIA, Sky",https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,Global,top200,MOVE_UP,1112032
This Is What You Came For (feat. Rihanna),34,2017-01-01,Calvin Harris,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,Global,top200,MOVE_DOWN,1094062
Work from Home (feat. Ty Dolla $ign),35,2017-01-01,Fifth Harmony,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,Global,top200,MOVE_UP,1059658
Scars To Your Beautiful,36,2017-01-01,Alessia Cara,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,Global,top200,SAME_POSITION,1031598
Vente Pa' Ca (feat. Maluma),37,2017-01-01,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Global,top200,MOVE_UP,1016899
All Night,38,2017-01-01,"The Vamps, Matoma",https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,Global,top200,MOVE_DOWN,1003894
By Your Side,39,2017-01-01,"Jonas Blue, RAYE",https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,Global,top200,MOVE_DOWN,971615
We Don't Talk Anymore (feat. Selena Gomez),40,2017-01-01,Charlie Puth,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,Global,top200,MOVE_UP,971342
Caroline,41,2017-01-01,Aminé,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,Global,top200,MOVE_UP,963128
Now and Later,42,2017-01-01,Sage The Gemini,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,Global,top200,MOVE_DOWN,959972
Love Me Now,43,2017-01-01,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,Global,top200,MOVE_UP,950832
The Mack,44,2017-01-01,"Nevada, Mark Morrison, Fetty Wap",https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,Global,top200,MOVE_DOWN,949200
Alone,45,2017-01-01,Alan Walker,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,Global,top200,MOVE_DOWN,936813
Work,46,2017-01-01,"Rihanna, Drake",https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,Global,top200,MOVE_UP,899368
Otra vez (feat. J Balvin),47,2017-01-01,Zion & Lennox,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,Global,top200,MOVE_UP,893174
I Would Like,48,2017-01-01,Zara Larsson,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,Global,top200,MOVE_DOWN,892922
Hear Me Now,49,2017-01-01,"Alok, Bruno Martini, Zeeba",https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,Global,top200,MOVE_DOWN,873494
Shed a Light,50,2017-01-01,"Robin Schulz, David Guetta, Cheat Codes",https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,Global,top200,MOVE_DOWN,868259
Bounce Back,51,2017-01-01,Big Sean,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,Global,top200,MOVE_UP,859929
Love Yourself,52,2017-01-01,Justin Bieber,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,Global,top200,MOVE_UP,858762
