,Song,Artist,pos,neu,neg,Sentiment
95,Dale Tu Amor (feat. El Polaco),Agapornis,0.0,0.0,0.0,
96,Me Reclama,"Mambo Kingz, DJ Luian, Luigi 21 Plus, Ozuna",0.0,98.78048780487805,1.2195121951219512,Negative
97,Mrchate ahora,Los Totora,0.0,0.0,0.0,
98,Bronceado,Marama,13.20754716981132,86.79245283018868,0.0,Positive
99,Te Vas - Version Cumbia,"aLee DJ, Zeta Music",0.0,0.0,0.0,
100,Bailando - Spanish Version,"Enrique Iglesias, Descemer Bueno, Gente De Zona",0.0,0.0,0.0,
101,Llegaste t (feat. Reykon),Sofï¿½a Reyes,0.0,98.52941176470588,1.4705882352941175,Negative
102,Corazon De Seda (feat. Ozuna),Klasico,0.0,0.0,0.0,
103,Por Fin Te Encontr,"Cali Y El Dandee, Juan Magï¿½n, Sebastian Yatra",0.0,0.0,0.0,
104,Fuiste,Gilda,0.0,100.0,0.0,Neutral
105,No Me Arrepiento de Este Amor,Gilda,5.357142857142857,94.64285714285714,0.0,Positive
106,Encantadora (feat. Farruko & Zion & Lennox) - Remix,"Yandel, Egbert Rosa aka Haze",0.0,0.0,0.0,
107,Si Te Dejas Llevar (feat. Juanka),Ozuna,5.681818181818182,90.9090909090909,3.4090909090909087,Positive
108,Sola Otra Vez,El Polaco,2.8169014084507045,95.77464788732394,1.4084507042253522,Positive
109,Curiosidad,Rombai,0.0,0.0,0.0,
110,Te Amo y Odio,Marama,0.0,96.29629629629629,3.7037037037037033,Negative
111,The Greatest (feat. Kendrick Lamar),Sia,0.0,0.0,0.0,
112,Ride,Twenty One Pilots,0.0,0.0,0.0,
113,Mi tesoro (feat. Nicky Jam),Zion & Lennox,2.2222222222222223,95.55555555555556,2.2222222222222223,Neutral
114,743,Miranda!,6.896551724137931,93.10344827586206,0.0,Positive
115,Dame la Mano,Los Bonnitos,1.4388489208633095,94.96402877697841,3.597122302158273,Negative
116,Love Yourself,Justin Bieber,20.689655172413794,74.13793103448276,5.172413793103448,Positive
117,Una historia,#TocoParaVos,5.0,95.0,0.0,Positive
118,La Llave,Agapornis,0.0,0.0,0.0,
119,De Pies A Cabeza,"Manï¿½, Nicky Jam",0.0,0.0,0.0,
120,Me Estoy Enamorando,Agapornis,0.0,0.0,0.0,
121,Ella,Agapornis,0.0,0.0,0.0,
122,This Is What You Came For (feat. Rihanna),Calvin Harris,0.0,0.0,0.0,
123,Andas En Mi Cabeza - Remix,"Chino & Nacho, Daddy Yankee, Don Omar, Wisin",0.0,0.0,0.0,
124,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,0.0,0.0,0.0,
125,Yo Tomo Licor,Amar Azul,0.0,0.0,0.0,
126,Hoy,Agapornis,0.0,0.0,0.0,
127,Sorry,Justin Bieber,0.0,0.0,0.0,
128,No Te Vayas,Marama,4.166666666666666,95.83333333333334,0.0,Positive
129,Un Beso,"Danny Paz, El Villano",0.0,0.0,0.0,
130,Hoy Ac en el Baile (Cara de Gitana) - Versin el Pepo,El Pepo,0.0,0.0,0.0,
131,Fantica Sensual,Plan B,1.25,98.75,0.0,Positive
132,Trumpets,"Sak Noel & Salvi, Sean Paul",9.722222222222223,90.27777777777779,0.0,Positive
133,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,0.0,0.0,0.0,
134,Heathens,Twenty One Pilots,0.0,0.0,0.0,
135,Ocho Cuarenta,Rodrigo,24.615384615384617,75.38461538461539,0.0,Positive
136,El Taxi,"Pitbull, Sensato, Osmani Garcia ""La Voz""",0.0,0.0,0.0,
